103.513.333	5.110.000	56.960.000
104.553.333	5.136.667	57.526.667
105.253.333	5.160.000	57.240.000
105.520.000	5.180.000	56.543.333
105.153.333	5.206.667	56.080.000
104.310.000	5.226.667	55.770.000
103.260.000	5.236.667	55.110.000
102.266.667	5.230.000	54.633.333
101.636.667	5.220.000	55.196.667
101.523.333	5.203.333	56.373.333
102.060.000	5.186.667	57.706.667
102.640.000	5.166.667	58.500.000
102.893.333	5.153.333	58.383.333
103.030.000	5.133.333	58.180.000
103.140.000	5.116.667	58.090.000
103.386.667	5.110.000	57.913.333
103.620.000	5.110.000	57.583.333
103.420.000	5.120.000	56.926.667
103.143.333	5.126.667	56.420.000
103.260.000	5.133.333	56.630.000
103.610.000	5.140.000	56.753.333
104.026.667	5.150.000	56.306.667
104.026.667	5.156.667	55.420.000
103.586.667	5.160.000	54.320.000
102.993.333	5.170.000	53.566.667
102.433.333	5.170.000	53.080.000
102.150.000	5.170.000	52.580.000
101.846.667	5.176.667	52.233.333
101.280.000	5.180.000	52.186.667
100.726.667	5.180.000	52.230.000
100.306.667	5.180.000	52.303.333
99.623.333	5.186.667	52.943.333
98.960.000	5.190.000	53.923.333
99.420.000	5.190.000	54.106.667
100.560.000	5.190.000	54.093.333
101.646.667	5.196.667	54.850.000
102.606.667	5.200.000	55.440.000
103.370.000	5.200.000	55.336.667
103.940.000	5.200.000	54.860.000
104.236.667	5.200.000	54.350.000
104.066.667	5.183.333	54.473.333
103.733.333	5.160.000	54.750.000
103.596.667	5.130.000	54.540.000
103.330.000	5.100.000	53.880.000
102.790.000	5.070.000	52.916.667
102.416.667	5.040.000	52.696.667
102.073.333	5.010.000	53.010.000
100.926.667	4.980.000	52.176.667
99.800.000	4.940.000	51.346.667
100.086.667	4.860.000	52.586.667
100.750.000	4.773.333	53.990.000
101.006.667	4.686.667	54.143.333
101.196.667	4.630.000	53.896.667
101.363.333	4.620.000	53.653.333
101.250.000	4.630.000	53.833.333
101.063.333	4.650.000	54.156.667
101.270.000	4.670.000	53.920.000
101.410.000	4.686.667	53.663.333
101.050.000	4.706.667	53.910.000
100.323.333	4.733.333	54.086.667
99.410.000	4.780.000	53.993.333
98.803.333	4.830.000	53.970.000
98.676.667	4.890.000	54.186.667
99.113.333	4.950.000	54.863.333
99.663.333	5.010.000	55.556.667
99.860.000	5.070.000	55.810.000
99.760.000	5.136.667	55.743.333
99.376.667	5.196.667	55.440.000
98.713.333	5.226.667	54.983.333
97.936.667	5.230.000	54.390.000
97.286.667	5.230.000	53.433.333
97.106.667	5.220.000	53.470.000
97.750.000	5.220.000	56.006.667
98.986.667	5.213.333	59.400.000
