115.666.667	4.643.333	49.240.000
117.986.667	4.630.000	51.500.000
118.610.000	4.610.000	51.133.333
118.076.667	4.593.333	49.493.333
117.030.000	4.580.000	47.933.333
117.916.667	4.580.000	48.303.333
119.360.000	4.590.000	49.546.667
117.196.667	4.596.667	48.453.333
115.586.667	4.603.333	47.600.000
116.730.000	4.613.333	48.250.000
116.933.333	4.620.000	47.540.000
116.300.000	4.630.000	46.086.667
115.626.667	4.636.667	45.056.667
116.786.667	4.646.667	45.433.333
118.253.333	4.653.333	46.543.333
116.746.667	4.660.000	46.813.333
116.086.667	4.660.000	47.473.333
117.476.667	4.660.000	48.753.333
117.466.667	4.660.000	49.073.333
117.033.333	4.660.000	48.920.000
117.430.000	4.660.000	48.863.333
118.300.000	4.660.000	48.340.000
118.766.667	4.660.000	47.283.333
117.226.667	4.660.000	45.866.667
116.850.000	4.660.000	45.746.667
119.140.000	4.660.000	47.400.000
118.946.667	4.660.000	46.616.667
117.136.667	4.660.000	44.890.000
116.106.667	4.656.667	45.076.667
116.936.667	4.650.000	46.716.667
118.226.667	4.650.000	48.406.667
116.486.667	4.650.000	47.770.000
115.883.333	4.640.000	47.813.333
117.763.333	4.640.000	49.556.667
117.353.333	4.640.000	49.716.667
115.986.667	4.636.667	48.796.667
115.376.667	4.630.000	47.746.667
116.276.667	4.623.333	47.526.667
116.856.667	4.613.333	47.090.000
115.740.000	4.600.000	45.690.000
115.056.667	4.600.000	45.210.000
115.800.000	4.613.333	45.890.000
118.033.333	4.626.667	47.153.333
117.893.333	4.643.333	46.133.333
117.300.000	4.660.000	45.150.000
119.336.667	4.680.000	47.330.000
121.106.667	4.700.000	48.646.667
121.683.333	4.720.000	48.606.667
120.933.333	4.740.000	48.103.333
118.783.333	4.753.333	48.500.000
117.006.667	4.756.667	50.030.000
117.930.000	4.736.667	52.070.000
118.646.667	4.706.667	51.546.667
118.050.000	4.670.000	49.170.000
116.156.667	4.630.000	47.203.333
114.563.333	4.613.333	47.566.667
113.850.000	4.610.000	48.836.667
113.893.333	4.616.667	48.513.333
112.516.667	4.630.000	48.020.000
110.733.333	4.640.000	48.720.000
111.873.333	4.640.000	52.160.000
113.370.000	4.643.333	53.376.667
113.673.333	4.650.000	51.203.333
112.810.000	4.656.667	49.733.333
113.256.667	4.673.333	49.590.000
115.303.333	4.686.667	49.890.000
115.820.000	4.703.333	48.040.000
114.540.000	4.713.333	46.110.000
112.786.667	4.720.000	45.823.333
114.036.667	4.730.000	48.296.667
115.353.333	4.730.000	49.433.333
115.006.667	4.736.667	47.933.333
114.470.000	4.740.000	48.333.333
116.616.667	4.733.333	50.840.000
121.283.333	4.723.333	53.596.667
123.066.667	4.713.333	52.396.667
122.026.667	4.696.667	50.030.000
119.690.000	4.690.000	48.773.333
119.430.000	4.696.667	49.543.333
119.543.333	4.706.667	49.880.000
118.503.333	4.716.667	48.516.667
115.683.333	4.720.000	47.046.667
113.440.000	4.720.000	46.966.667
114.030.000	4.713.333	49.140.000
114.140.000	4.700.000	49.730.000
113.136.667	4.686.667	48.913.333
111.606.667	4.673.333	48.770.000
111.543.333	4.670.000	50.063.333
113.243.333	4.673.333	51.930.000
115.296.667	4.680.000	52.103.333
116.506.667	4.683.333	51.073.333
116.503.333	4.690.000	49.840.000
115.713.333	4.690.000	49.893.333
116.266.667	4.690.000	51.093.333
118.073.333	4.693.333	52.246.667
118.013.333	4.700.000	50.973.333
116.503.333	4.700.000	49.173.333
114.500.000	4.706.667	48.486.667
113.536.667	4.716.667	49.756.667
113.630.000	4.733.333	51.413.333
