77.443.333	5.683.333	66.590.000
78.630.000	5.700.000	69.566.667
79.070.000	5.716.667	69.526.667
78.620.000	5.736.667	67.636.667
77.876.667	5.753.333	66.660.000
77.820.000	5.770.000	68.066.667
79.403.333	5.800.000	70.396.667
80.756.667	5.830.000	70.956.667
81.116.667	5.860.000	69.816.667
80.773.333	5.890.000	68.540.000
80.733.333	5.923.333	68.796.667
81.293.333	5.960.000	69.946.667
81.600.000	5.993.333	69.953.333
80.720.000	6.030.000	67.413.333
80.110.000	6.050.000	66.750.000
79.863.333	6.046.667	68.106.667
79.510.000	6.020.000	70.003.333
80.223.333	5.990.000	73.720.000
82.583.333	5.960.000	79.086.667
85.643.333	5.930.000	82.530.000
87.256.667	5.900.000	83.050.000
88.263.333	5.863.333	83.023.333
90.396.667	5.833.333	85.136.667
91.690.000	5.840.000	86.420.000
91.956.667	5.870.000	86.136.667
92.076.667	5.890.000	85.156.667
93.356.667	5.920.000	86.163.333
98.373.333	5.956.667	82.433.333
104.240.000	5.990.000	74.700.000
102.263.333	6.020.000	73.720.000
96.853.333	6.043.333	76.506.667
91.966.667	6.063.333	80.360.000
90.233.333	6.070.000	82.796.667
92.680.000	6.060.000	82.400.000
93.826.667	6.040.000	81.213.333
93.333.333	6.010.000	80.133.333
92.566.667	5.980.000	79.906.667
91.776.667	5.950.000	80.730.000
91.273.333	5.920.000	82.683.333
91.690.000	5.890.000	84.996.667
92.890.000	5.860.000	86.580.000
93.180.000	5.850.000	84.983.333
92.770.000	5.850.000	81.953.333
92.150.000	5.850.000	79.523.333
91.396.667	5.843.333	77.986.667
90.793.333	5.840.000	77.653.333
91.246.667	5.840.000	78.863.333
92.490.000	5.850.000	80.170.000
92.953.333	5.863.333	77.313.333
92.980.000	5.873.333	73.880.000
93.083.333	5.880.000	73.470.000
93.263.333	5.890.000	73.813.333
93.540.000	5.893.333	73.826.667
93.866.667	5.896.667	73.206.667
94.150.000	5.890.000	72.006.667
94.210.000	5.886.667	70.970.000
93.943.333	5.876.667	70.206.667
93.123.333	5.870.000	69.690.000
92.176.667	5.860.000	69.696.667
91.616.667	5.853.333	70.753.333
91.630.000	5.846.667	72.223.333
92.490.000	5.840.000	73.326.667
92.970.000	5.836.667	73.273.333
92.356.667	5.830.000	71.936.667
91.830.000	5.830.000	71.960.000
91.693.333	5.830.000	73.630.000
91.866.667	5.830.000	76.186.667
92.743.333	5.823.333	79.263.333
94.890.000	5.820.000	82.523.333
95.963.333	5.810.000	82.240.000
95.483.333	5.800.000	78.930.000
95.190.000	5.790.000	78.470.000
95.303.333	5.776.667	80.006.667
96.200.000	5.766.667	82.526.667
97.233.333	5.756.667	83.980.000
97.546.667	5.750.000	81.803.333
97.150.000	5.743.333	78.470.000
96.193.333	5.736.667	76.113.333
95.433.333	5.730.000	75.596.667
95.343.333	5.723.333	77.413.333
95.943.333	5.720.000	79.156.667
97.050.000	5.710.000	79.623.333
97.423.333	5.710.000	78.226.667
97.673.333	5.700.000	77.166.667
98.830.000	5.700.000	79.546.667
100.136.667	5.700.000	81.226.667
100.936.667	5.700.000	79.493.333
100.106.667	5.710.000	75.883.333
99.760.000	5.726.667	72.863.333
100.323.333	5.746.667	70.343.333
98.213.333	5.770.000	64.166.667
95.703.333	5.793.333	59.700.000
93.826.667	5.806.667	58.796.667
92.103.333	5.823.333	59.056.667
90.483.333	5.836.667	59.533.333
89.180.000	5.850.000	60.963.333
88.400.000	5.860.000	63.363.333
89.126.667	5.866.667	66.440.000
90.606.667	5.870.000	69.080.000
90.223.333	5.873.333	69.056.667
92.580.000	5.880.000	68.163.333
98.926.667	5.880.000	68.090.000
99.610.000	5.880.000	69.803.333
94.420.000	5.890.000	73.623.333
90.046.667	5.890.000	78.986.667
