0.292676	0.928095	0.603356
0.288698	0.928095	0.574523
0.280224	0.933231	0.578771
0.277957	0.936312	0.604418
0.297450	0.939908	0.640737
0.321439	0.943503	0.677375
0.329554	0.948639	0.704614
0.318813	0.951721	0.696119
0.292278	0.955316	0.651516
0.275848	0.958911	0.641056
0.265227	0.961993	0.655923
0.238851	0.965588	0.644241
0.207423	0.969183	0.620878
0.184867	0.974319	0.607444
0.164697	0.975860	0.588170
0.149063	0.975860	0.567461
0.163106	0.970724	0.611161
0.198910	0.960452	0.698614
0.237896	0.951721	0.782297
0.284839	0.941448	0.825838
0.340295	0.933231	0.812935
0.394120	0.924499	0.778049
0.437761	0.915768	0.741093
0.462028	0.905496	0.727287
0.466404	0.897278	0.703924
0.452083	0.888546	0.637710
0.414528	0.878274	0.557373
0.358595	0.869543	0.486221
0.316148	0.866461	0.457867
0.290170	0.866461	0.467955
0.273581	0.866461	0.497903
0.259776	0.869543	0.517337
0.242949	0.871597	0.504593
0.229025	0.871597	0.471672
0.216693	0.871597	0.435034
0.198791	0.871597	0.430786
0.173728	0.873138	0.442309
0.139794	0.876733	0.442149
0.104388	0.876733	0.436468
0.074154	0.876733	0.435406
0.055973	0.876733	0.482292
0.055058	0.876733	0.564275
0.077973	0.881870	0.634684
0.098262	0.881870	0.677003
0.095357	0.881870	0.682154
0.086327	0.881870	0.679499
0.082747	0.881870	0.683003
0.098818	0.881870	0.698242
0.124677	0.881870	0.732066
0.146278	0.879815	0.788669
0.160878	0.876733	0.835767
0.166448	0.876733	0.855254
0.159804	0.873138	0.842829
0.145761	0.871597	0.810811
0.131281	0.871597	0.780704
0.112862	0.866461	0.747783
0.087918	0.866461	0.709234
0.057047	0.866461	0.669410
0.029041	0.861325	0.644613
0.036480	0.861325	0.699464
0.075586	0.861325	0.808315
0.128894	0.859271	0.909574
0.205036	0.856189	0.979132
0.305128	0.856189	1.000000
0.405538	0.856189	0.965699
0.481243	0.856189	0.906547
0.497434	0.856189	0.885520
0.493575	0.851053	0.857166
0.503004	0.851053	0.784793
0.496638	0.851053	0.729942
0.466404	0.851053	0.696809
0.410550	0.851053	0.617161
0.351553	0.845917	0.543567
0.322234	0.845917	0.567461
0.299041	0.845917	0.616630
0.265744	0.845917	0.636277
0.241079	0.845917	0.634365
