epoch,loss
0,0.039743453270774873
1,0.038340777524809057
2,0.03738652291853907
3,0.036419867932304159
4,0.035287578468675425
5,0.034009028375843221
6,0.032626273043231728
7,0.031428676360428523
8,0.03028291221515245
9,0.02989119792152397
10,0.029282509939484749
11,0.028792623051388546
12,0.028536956646708647
13,0.028185472195951314
14,0.028261753593651254
15,0.028125122928945374
16,0.028009607062692208
17,0.027918659019428183
18,0.028258552389525505
19,0.027909204368693843
20,0.027352754840708954
21,0.027839119325508772
22,0.027495258233491738
23,0.027664933318476286
24,0.02748197954962063
25,0.027765928147495584
26,0.027533198740223634
27,0.027672743328114272
28,0.027576805780720443
29,0.027432288186962837
30,0.027502740708040891
31,0.027355591498802359
32,0.027571928210128528
33,0.027206229077194166
34,0.02723572856459924
