epoch,loss
0,0.039983673811873469
1,0.038217729922446535
2,0.037199011938896812
3,0.035852140562427123
4,0.035079171052768081
5,0.033633929296087599
6,0.032483483771510877
7,0.031191653500621717
8,0.030330657185289364
9,0.030044025194728662
10,0.029565391670802691
11,0.029055645762719455
12,0.02908196974175966
13,0.028895245551765862
14,0.028915080346359083
15,0.028467782054645879
16,0.028446900315609664
17,0.028636101798680921
18,0.02855714534352493
19,0.027887817267439649
20,0.027968358029415521
21,0.028378803851643455
22,0.02802888664831471
23,0.027831931128224567
24,0.028185935345460027
25,0.028215307979588038
26,0.027988655504545441
27,0.02809131784820746
28,0.02825011778824545
29,0.028063294819720485
30,0.027846190586627684
31,0.027988303039138171
32,0.028089612785781325
33,0.028083554940014289
34,0.028084563488376429
