epoch,loss
0,0.039475344668030272
1,0.035851809750886331
2,0.034456081408440156
3,0.032594801437239716
4,0.030618426150769647
5,0.028797794255288747
6,0.027485132090861258
7,0.027225782179664419
8,0.025854775951068127
9,0.025851309965958462
10,0.025825189800507346
11,0.02544226794007521
12,0.025453880330967921
13,0.025575856217664041
14,0.025055072459044463
15,0.025378286013209028
16,0.024821908565554125
17,0.025223159096966673
18,0.024837359485070657
19,0.024960716793186698
20,0.024980580803115788
21,0.024848562552867388
22,0.024883702341827515
23,0.024939064340426406
24,0.024919944395280631
25,0.024904476806995098
26,0.024937479037562823
27,0.025031433138325131
28,0.024720200130633238
29,0.024889023513531471
30,0.024808700758418577
31,0.024724741195392804
32,0.024401324279156936
33,0.024366855107417436
34,0.024494020398023925
