epoch,loss
0,0.037471073240429975
1,0.03510346582538014
2,0.03416370427446349
3,0.032660060145199656
4,0.031349005274686245
5,0.029627307882630034
6,0.028650180279131257
7,0.027428701226230569
8,0.027144356011883076
9,0.02694608485273578
10,0.02666665504398991
11,0.026156347133415459
12,0.026226512661254205
13,0.026055739010167969
14,0.026274664397189153
15,0.026140883438491462
16,0.026199213294864875
17,0.02622755801178479
18,0.025931147594637483
19,0.026198199489646173
20,0.026225445465598986
21,0.02564733466385857
22,0.026443052925799685
23,0.025898542099782922
24,0.026153714117287889
25,0.025730599430955205
26,0.025979338510477023
27,0.025993099776537184
28,0.025767090152488195
29,0.025597765799466925
30,0.02583444696833961
31,0.025795876925830467
32,0.025702808179148853
33,0.025659248924786226
34,0.025488223623619154
