136.243.333	5.670.000	39.676.667
134.540.000	5.676.667	34.773.333
132.936.667	5.680.000	36.170.000
132.926.667	5.680.000	40.103.333
133.136.667	5.690.000	42.643.333
131.973.333	5.690.000	39.823.333
130.720.000	5.693.333	37.373.333
129.916.667	5.700.000	37.563.333
128.993.333	5.700.000	36.713.333
128.153.333	5.706.667	36.610.000
127.783.333	5.710.000	40.883.333
128.026.667	5.710.000	42.160.000
129.230.000	5.710.000	38.060.000
132.423.333	5.700.000	38.566.667
136.593.333	5.690.000	40.436.667
140.530.000	5.680.000	40.600.000
143.776.667	5.673.333	42.640.000
143.006.667	5.663.333	43.873.333
139.493.333	5.653.333	43.236.667
139.870.000	5.646.667	41.893.333
141.250.000	5.636.667	40.873.333
140.740.000	5.626.667	41.270.000
139.333.333	5.616.667	41.603.333
137.556.667	5.610.000	41.153.333
135.933.333	5.600.000	40.570.000
134.433.333	5.590.000	40.003.333
132.553.333	5.580.000	39.490.000
131.173.333	5.573.333	39.340.000
131.276.667	5.563.333	39.830.000
134.500.000	5.553.333	41.023.333
138.753.333	5.543.333	42.386.667
140.230.000	5.533.333	43.003.333
141.873.333	5.523.333	42.733.333
142.930.000	5.513.333	42.776.667
142.493.333	5.503.333	43.576.667
142.300.000	5.493.333	42.193.333
142.186.667	5.483.333	40.800.000
141.570.000	5.476.667	43.226.667
140.386.667	5.466.667	44.153.333
138.640.000	5.456.667	40.723.333
136.573.333	5.446.667	38.446.667
134.763.333	5.436.667	38.106.667
134.153.333	5.430.000	37.983.333
134.833.333	5.420.000	38.733.333
136.410.000	5.420.000	40.776.667
137.316.667	5.416.667	43.383.333
137.480.000	5.410.000	43.976.667
137.133.333	5.410.000	41.540.000
136.476.667	5.406.667	40.066.667
135.696.667	5.400.000	39.493.333
134.916.667	5.400.000	39.210.000
133.493.333	5.396.667	40.430.000
131.913.333	5.390.000	42.340.000
131.883.333	5.396.667	41.900.000
134.660.000	5.400.000	42.130.000
138.553.333	5.400.000	44.443.333
138.230.000	5.406.667	46.846.667
138.820.000	5.410.000	49.953.333
140.166.667	5.410.000	49.636.667
140.426.667	5.420.000	43.126.667
139.776.667	5.420.000	39.426.667
138.783.333	5.423.333	39.650.000
138.120.000	5.430.000	42.400.000
137.383.333	5.430.000	44.413.333
136.410.000	5.433.333	44.120.000
135.120.000	5.440.000	41.556.667
133.946.667	5.440.000	38.950.000
133.456.667	5.440.000	38.456.667
134.520.000	5.440.000	39.056.667
136.916.667	5.430.000	40.343.333
139.716.667	5.430.000	42.193.333
141.156.667	5.420.000	44.960.000
141.123.333	5.420.000	44.676.667
140.333.333	5.413.333	40.683.333
140.213.333	5.410.000	39.133.333
139.943.333	5.406.667	39.153.333
138.816.667	5.400.000	39.466.667
137.416.667	5.396.667	39.583.333
136.156.667	5.390.000	39.323.333
135.413.333	5.390.000	38.690.000
135.903.333	5.380.000	39.343.333
139.146.667	5.380.000	41.806.667
145.616.667	5.373.333	44.630.000
142.633.333	5.370.000	40.810.000
139.606.667	5.366.667	37.366.667
142.433.333	5.360.000	38.463.333
142.453.333	5.360.000	38.470.000
140.883.333	5.350.000	37.763.333
140.150.000	5.350.000	37.643.333
138.943.333	5.343.333	39.443.333
136.976.667	5.340.000	42.490.000
134.930.000	5.336.667	43.490.000
133.720.000	5.330.000	41.990.000
