102.670.000	5.920.000	53.243.333
102.216.667	5.920.000	52.090.000
101.406.667	5.920.000	51.283.333
100.460.000	5.920.000	50.066.667
99.423.333	5.920.000	48.570.000
98.220.000	5.920.000	47.743.333
97.716.667	5.930.000	48.020.000
98.343.333	5.936.667	49.256.667
99.966.667	5.950.000	50.680.000
101.433.333	5.960.000	51.556.667
102.320.000	5.970.000	51.056.667
102.590.000	5.980.000	49.413.333
102.333.333	5.990.000	49.230.000
101.363.333	6.000.000	48.833.333
100.386.667	6.000.000	48.253.333
100.803.333	6.000.000	49.456.667
101.470.000	6.010.000	51.223.333
102.186.667	6.010.000	52.570.000
102.840.000	6.010.000	52.966.667
102.370.000	6.010.000	52.510.000
101.393.333	6.010.000	51.193.333
100.273.333	6.016.667	49.520.000
98.960.000	6.020.000	48.486.667
97.990.000	6.020.000	48.126.667
97.693.333	6.020.000	48.553.333
98.050.000	6.013.333	49.970.000
99.123.333	6.010.000	51.260.000
100.400.000	6.000.000	51.926.667
100.970.000	5.996.667	52.080.000
100.743.333	5.990.000	50.350.000
100.010.000	5.983.333	47.903.333
99.153.333	5.980.000	46.456.667
98.433.333	5.970.000	46.616.667
98.386.667	5.970.000	47.113.333
99.166.667	5.966.667	46.996.667
99.946.667	5.960.000	47.413.333
99.996.667	5.960.000	47.693.333
99.210.000	5.960.000	47.336.667
97.900.000	5.960.000	46.320.000
95.616.667	5.950.000	45.243.333
95.103.333	5.950.000	44.796.667
95.203.333	5.950.000	45.523.333
95.306.667	5.946.667	47.300.000
95.406.667	5.940.000	49.070.000
95.506.667	5.940.000	49.893.333
95.610.000	5.933.333	49.360.000
95.710.000	5.930.000	47.626.667
95.810.000	5.930.000	45.986.667
95.913.333	5.923.333	45.806.667
96.653.333	5.920.000	47.680.000
98.963.333	5.913.333	49.383.333
100.860.000	5.910.000	50.510.000
101.196.667	5.900.000	50.986.667
100.933.333	5.896.667	49.516.667
100.073.333	5.890.000	47.596.667
99.296.667	5.883.333	46.760.000
99.483.333	5.890.000	47.810.000
100.320.000	5.896.667	48.263.333
101.263.333	5.906.667	48.443.333
101.933.333	5.916.667	48.673.333
102.366.667	5.926.667	47.476.667
102.260.000	5.936.667	46.306.667
101.983.333	5.946.667	46.150.000
102.433.333	5.950.000	47.213.333
103.250.000	5.940.000	47.496.667
104.240.000	5.940.000	48.046.667
105.223.333	5.940.000	50.013.333
105.710.000	5.940.000	49.290.000
105.600.000	5.930.000	47.966.667
105.006.667	5.930.000	47.523.333
104.213.333	5.930.000	46.980.000
103.796.667	5.930.000	46.503.333
104.143.333	5.930.000	46.810.000
105.333.333	5.930.000	49.030.000
106.190.000	5.930.000	49.716.667
105.930.000	5.930.000	49.193.333
105.510.000	5.930.000	48.983.333
105.100.000	5.930.000	48.310.000
104.680.000	5.930.000	47.306.667
104.260.000	5.926.667	46.720.000
103.840.000	5.920.000	47.893.333
103.430.000	5.910.000	49.096.667
103.010.000	5.903.333	49.073.333
102.590.000	5.893.333	47.500.000
101.590.000	5.886.667	46.316.667
100.400.000	5.876.667	46.336.667
100.620.000	5.870.000	47.576.667
101.890.000	5.860.000	49.083.333
102.770.000	5.850.000	49.440.000
102.213.333	5.843.333	48.183.333
101.040.000	5.833.333	47.376.667
100.816.667	5.826.667	47.550.000
102.113.333	5.816.667	48.693.333
104.090.000	5.810.000	50.203.333
105.056.667	5.800.000	50.460.000
104.576.667	5.790.000	49.123.333
103.120.000	5.783.333	47.050.000
101.606.667	5.773.333	45.763.333
100.986.667	5.770.000	46.493.333
101.226.667	5.776.667	48.333.333
101.840.000	5.780.000	49.640.000
102.456.667	5.790.000	49.990.000
101.973.333	5.793.333	48.683.333
100.660.000	5.800.000	46.643.333
99.593.333	5.806.667	45.583.333
98.033.333	5.810.000	44.923.333
97.196.667	5.810.000	44.950.000
98.106.667	5.803.333	46.146.667
99.460.000	5.793.333	48.453.333
100.260.000	5.776.667	49.166.667
100.123.333	5.766.667	47.773.333
99.080.000	5.753.333	45.630.000
97.473.333	5.740.000	45.120.000
96.953.333	5.750.000	45.910.000
97.950.000	5.780.000	46.990.000
99.543.333	5.813.333	47.433.333
100.133.333	5.850.000	47.570.000
99.723.333	5.880.000	46.310.000
98.670.000	5.916.667	44.380.000
97.343.333	5.950.000	44.033.333
96.720.000	5.960.000	44.540.000
96.856.667	5.953.333	46.040.000
96.663.333	5.943.333	48.260.000
96.256.667	5.926.667	49.210.000
95.856.667	5.916.667	48.103.333
95.453.333	5.903.333	45.880.000
95.050.000	5.890.000	43.983.333
94.646.667	5.880.000	43.336.667
94.243.333	5.883.333	44.823.333
93.843.333	5.896.667	47.940.000
96.070.000	5.913.333	50.406.667
100.606.667	5.926.667	52.410.000
103.700.000	5.943.333	53.303.333
105.913.333	5.960.000	52.250.000
106.873.333	5.973.333	51.686.667
108.226.667	5.980.000	51.993.333
111.006.667	5.976.667	52.693.333
112.836.667	5.970.000	53.123.333
113.006.667	5.966.667	52.416.667
111.580.000	5.960.000	50.563.333
109.216.667	5.953.333	48.353.333
107.420.000	5.950.000	47.510.000
106.376.667	5.943.333	47.933.333
105.590.000	5.940.000	48.553.333
105.966.667	5.920.000	49.770.000
107.240.000	5.900.000	50.883.333
108.120.000	5.870.000	50.573.333
107.743.333	5.840.000	49.230.000
106.890.000	5.820.000	48.323.333
106.293.333	5.790.000	48.490.000
105.580.000	5.763.333	48.230.000
106.143.333	5.770.000	49.513.333
108.110.000	5.803.333	51.450.000
110.086.667	5.840.000	51.430.000
110.183.333	5.870.000	50.333.333
109.173.333	5.903.333	48.176.667
107.793.333	5.940.000	45.966.667
106.376.667	5.970.000	45.320.000
105.783.333	5.986.667	45.983.333
106.250.000	6.003.333	47.746.667
107.620.000	6.013.333	50.060.000
109.433.333	6.026.667	51.003.333
110.673.333	6.043.333	51.660.000
111.006.667	6.056.667	52.086.667
111.020.000	6.073.333	50.606.667
110.163.333	6.083.333	49.400.000
109.320.000	6.090.000	49.350.000
109.733.333	6.083.333	50.286.667
110.753.333	6.060.000	50.986.667
111.530.000	6.023.333	51.180.000
111.386.667	5.990.000	50.896.667
110.276.667	5.960.000	50.266.667
109.280.000	5.930.000	49.590.000
107.916.667	5.900.000	48.556.667
106.300.000	5.873.333	47.596.667
105.746.667	5.863.333	48.216.667
106.356.667	5.876.667	49.286.667
107.346.667	5.900.000	50.223.333
107.773.333	5.923.333	50.633.333
107.730.000	5.946.667	49.276.667
107.206.667	5.970.000	47.610.000
106.393.333	5.990.000	46.316.667
105.493.333	6.013.333	45.330.000
102.966.667	6.026.667	45.303.333
102.056.667	6.030.000	45.250.000
101.716.667	6.030.000	45.196.667
101.376.667	6.020.000	48.756.667
101.036.667	6.020.000	49.673.333
100.696.667	6.010.000	50.296.667
100.356.667	6.006.667	50.803.333
100.016.667	6.000.000	47.733.333
99.676.667	5.993.333	46.930.000
99.333.333	5.990.000	46.816.667
99.606.667	5.990.000	46.130.000
100.320.000	6.003.333	46.900.000
101.843.333	6.013.333	48.226.667
103.416.667	6.026.667	49.363.333
104.076.667	6.043.333	49.913.333
104.383.333	6.056.667	49.363.333
104.160.000	6.070.000	48.673.333
103.616.667	6.080.000	48.600.000
103.313.333	6.090.000	49.120.000
103.883.333	6.080.000	48.756.667
104.666.667	6.076.667	50.160.000
105.096.667	6.070.000	51.923.333
105.473.333	6.060.000	51.200.000
105.846.667	6.053.333	50.156.667
106.223.333	6.046.667	48.426.667
106.596.667	6.040.000	47.840.000
106.973.333	6.030.000	48.983.333
107.346.667	6.023.333	49.710.000
107.723.333	6.016.667	52.210.000
108.003.333	6.010.000	51.826.667
107.340.000	6.003.333	49.693.333
105.896.667	6.000.000	48.910.000
104.473.333	5.990.000	47.443.333
102.786.667	5.983.333	46.436.667
101.510.000	5.980.000	46.383.333
101.646.667	5.993.333	47.023.333
102.626.667	6.006.667	46.956.667
103.856.667	6.026.667	47.926.667
104.496.667	6.043.333	49.203.333
104.020.000	6.063.333	48.170.000
103.200.000	6.080.000	45.700.000
102.096.667	6.096.667	44.583.333
101.320.000	6.110.000	44.713.333
101.666.667	6.120.000	45.723.333
103.463.333	6.123.333	49.000.000
105.556.667	6.130.000	50.550.000
106.356.667	6.140.000	49.900.000
105.770.000	6.146.667	48.823.333
104.696.667	6.153.333	48.216.667
103.733.333	6.160.000	47.113.333
102.313.333	6.170.000	46.566.667
100.673.333	6.170.000	46.566.667
100.093.333	6.170.000	47.346.667
100.076.667	6.153.333	49.966.667
100.063.333	6.133.333	51.160.000
100.046.667	6.110.000	51.116.667
100.033.333	6.090.000	50.173.333
100.016.667	6.070.000	48.566.667
99.996.667	6.050.000	47.263.333
99.983.333	6.026.667	46.323.333
99.966.667	6.006.667	46.276.667
100.996.667	5.993.333	47.136.667
102.780.000	5.996.667	47.830.000
104.490.000	6.000.000	49.073.333
105.240.000	6.010.000	49.586.667
105.040.000	6.010.000	48.376.667
104.573.333	6.020.000	46.323.333
103.156.667	6.020.000	45.350.000
102.703.333	6.020.000	46.143.333
103.823.333	6.020.000	47.673.333
104.933.333	6.016.667	48.296.667
104.606.667	6.010.000	48.376.667
104.283.333	6.003.333	47.470.000
103.886.667	6.000.000	46.733.333
103.486.667	5.990.000	46.833.333
103.090.000	5.990.000	46.650.000
102.690.000	5.976.667	48.080.000
102.290.000	5.963.333	50.240.000
101.726.667	5.943.333	51.116.667
102.793.333	5.926.667	50.483.333
103.266.667	5.906.667	48.923.333
101.933.333	5.890.000	47.216.667
100.510.000	5.873.333	46.616.667
100.516.667	5.853.333	48.510.000
101.506.667	5.850.000	50.760.000
102.380.000	5.850.000	51.320.000
102.400.000	5.850.000	49.920.000
101.780.000	5.850.000	48.353.333
100.896.667	5.850.000	46.916.667
99.546.667	5.850.000	46.383.333
98.880.000	5.850.000	47.086.667
98.880.000	5.850.000	48.146.667
98.880.000	5.846.667	49.326.667
98.870.000	5.840.000	50.213.333
98.870.000	5.840.000	49.793.333
98.870.000	5.830.000	47.096.667
98.863.333	5.830.000	44.390.000
98.860.000	5.820.000	44.173.333
98.860.000	5.830.000	46.590.000
100.180.000	5.830.000	46.246.667
101.990.000	5.840.000	45.586.667
101.166.667	5.840.000	45.530.000
99.926.667	5.850.000	45.446.667
98.343.333	5.850.000	44.950.000
97.946.667	5.860.000	45.720.000
99.713.333	5.860.000	48.600.000
102.653.333	5.870.000	51.720.000
105.706.667	5.873.333	53.610.000
107.783.333	5.880.000	53.723.333
108.163.333	5.886.667	52.153.333
107.260.000	5.890.000	49.603.333
106.580.000	5.900.000	47.866.667
105.890.000	5.900.000	46.876.667
105.200.000	5.900.000	46.960.000
104.510.000	5.893.333	48.880.000
103.820.000	5.890.000	48.096.667
103.130.000	5.890.000	46.666.667
102.440.000	5.880.000	46.636.667
101.750.000	5.880.000	46.280.000
101.493.333	5.876.667	45.843.333
100.680.000	5.870.000	45.683.333
100.113.333	5.870.000	46.173.333
100.650.000	5.873.333	46.643.333
102.220.000	5.880.000	47.746.667
103.960.000	5.886.667	49.970.000
104.856.667	5.890.000	50.310.000
104.800.000	5.900.000	49.006.667
104.153.333	5.903.333	47.443.333
103.540.000	5.910.000	47.080.000
102.656.667	5.910.000	46.770.000
101.700.000	5.910.000	46.606.667
100.706.667	5.910.000	46.853.333
99.710.000	5.906.667	46.853.333
98.716.667	5.900.000	45.430.000
97.720.000	5.900.000	43.530.000
96.726.667	5.900.000	43.640.000
95.730.000	5.900.000	45.116.667
94.733.333	5.893.333	46.610.000
96.530.000	5.886.667	46.736.667
98.853.333	5.880.000	47.696.667
99.490.000	5.870.000	48.370.000
99.573.333	5.863.333	47.186.667
99.093.333	5.853.333	45.723.333
